# Add any new events at the bottom of the list...

Mar 31 9pm, 1050 Peer Survey 4, Online, No, All, Due 9pm
Mar 31 9pm, 1050 Group Report 3, Online, No, All, Due 9pm
Mar 31 9pm, 1050 Group Project Documentation, Online, No, All, Due 9pm
Apr 1, 1050 Winter Showcase, In-person, No, All, -
Apr 4 9pm, 1050 Individual Reflection 4, Online, No, All, Due 9pm
Mar 1 10am, Programming Midterm, In-person, Yes, cohortB, Starts 10am

%%%%%
# Add new events above the %%%%% line

